,0
799,2
800,5
801,3
802,5
803,6
804,0
805,4
806,6
807,1
808,2
809,0
810,0
811,5
812,5
813,1
814,5
815,7
816,6
817,7
818,5
819,6
820,0
821,7
822,4
823,0
824,7
825,0
826,4
827,0
828,2
829,4
830,1
831,9
832,1
833,9
834,1
835,9
836,1
837,9
838,6
839,4
840,0
841,6
842,9
843,5
844,0
845,9
846,3
847,9
848,0
849,2
850,1
851,1
852,3
853,6
854,5
855,3
856,1
857,3
858,4
859,2
860,2
861,3
862,3
863,4
864,3
865,3
866,4
867,3
868,3
869,4
870,3
871,3
872,4
873,3
874,3
875,4
876,3
877,3
878,4
879,3
880,3
881,4
882,3
883,3
884,4
885,0
886,7
887,2
888,3
889,4
890,3
891,9
892,0
893,1
894,0
895,4
896,5
897,0
898,8
899,7
900,3
901,6
902,4
903,1
904,7
905,8
906,6
907,9
908,6
909,5
910,4
911,6
912,0
913,0
914,6
915,5
916,1
917,1
918,4
919,0
920,3
921,2
922,6
923,6
924,0
925,5
926,2
927,0
928,4
929,3
930,7
931,6
932,1
933,9
934,9
935,4
936,8
937,2
938,3
939,9
940,4
941,7
942,5
943,5
944,1
945,3
946,8
947,0
948,7
949,0
950,7
951,0
952,5
953,5
954,0
955,8
956,1
957,7
958,4
959,9
960,8
961,5
962,7
963,7
964,2
965,3
966,1
967,1
968,1
969,0
970,0
971,0
972,6
973,3
974,1
975,0
976,4
977,6
978,1
979,3
980,7
981,0
982,4
983,4
984,1
985,5
986,0
987,5
988,0
989,6
990,9
991,4
992,3
993,6
994,9
995,4
996,3
997,3
998,0
999,5
1000,5
1001,0
1002,0
1003,0
1004,7
1005,0
1006,0
1007,7
1008,6
1009,1
1010,2
1011,0
1012,3
1013,1
1014,0
1015,4
1016,0
1017,1
1018,0
1019,4
1020,0
1021,6
1022,0
1023,5
1024,4
1025,9
1026,0
1027,1
1028,1
1029,3
1030,7
1031,9
1032,5
1033,7
1034,7
1035,1
1036,2
1037,6
1038,6
1039,2
1040,6
1041,6
1042,9
1043,1
1044,9
1045,8
1046,7
1047,2
1048,5
1049,1
1050,9
1051,7
1052,1
1053,9
1054,4
1055,7
1056,1
1057,9
1058,4
1059,2
1060,5
1061,0
1062,0
1063,4
1064,1
1065,0
1066,9
1067,7
1068,6
1069,5
1070,1
1071,1
1072,6
1073,9
1074,3
1075,6
1076,3
1077,7
1078,9
1079,5
1080,1
1081,7
1082,2
1083,3
1084,4
1085,5
1086,7
1087,7
1088,6
1089,9
1090,1
1091,7
1092,3
1093,0
1094,1
1095,1
1096,9
1097,0
1098,6
1099,1
1100,9
1101,9
1102,0
1103,1
1104,7
1105,5
1106,7
1107,7
1108,2
1109,5
1110,7
1111,1
1112,9
1113,5
1114,6
1115,0
1116,9
1117,8
1118,5
1119,0
1120,6
1121,3
1122,0
1123,1
